iso,year,log_gdppc,bottom40_share
IND,2009,7.051943612797376,23.7
IND,2011,7.155872803144619,23.1
IND,2022,7.64884047252486,24.6
IRL,1987,9.866887011152564,18.6
IRL,1994,10.175943385987138,18.4
IRL,1995,10.262797638206795,18.3
IRL,1996,10.326085188278505,19.0
IRL,2000,10.659597334815277,20.2
IRL,2002,10.735841917249259,20.4
IRL,2003,10.749245557098549,20.2
IRL,2004,10.796639103723713,20.0
IRL,2005,10.830663076992838,20.1
IRL,2006,10.852377498467067,20.3
IRL,2007,10.875207217259875,21.0
IRL,2008,10.80894298253408,21.2
IRL,2009,10.746484306991263,20.3
IRL,2010,10.757725130159226,20.299999999999997
IRL,2011,10.76932501970944,20.2
IRL,2012,10.76102906285345,20.0
IRL,2013,10.777455886695826,19.8
IRL,2014,10.859856708820013,20.700000000000003
IRL,2015,11.070539158679278,20.9
IRL,2016,11.06985162828991,20.5
IRL,2017,11.15265294469854,21.4
IRL,2018,11.212212931086379,21.799999999999997
IRL,2019,11.244858235578402,21.9
IRL,2020,11.301314364517266,22.3
IRL,2021,11.437999659259562,22.3
IRL,2022,11.490613766591297,22.1
IRL,2023,11.446165431356981,22.6
IRN,1986,8.08174879095022,13.2
IRN,1990,8.077819953797071,14.8
IRN,1994,8.145624909929019,15.2
IRN,1998,8.2173212921071,14.5
IRN,2005,8.44469957408565,14.899999999999999
IRN,2006,8.471943379078233,14.1
IRN,2009,8.521960438739798,15.100000000000001
IRN,2011,8.57955911181092,19.1
IRN,2012,8.528854212287344,19.4
IRN,2013,8.500448359868757,19.6
IRN,2014,8.535662223403056,19.2
IRN,2015,8.507694936536325,19.0
IRN,2016,8.57783988349113,18.7
IRN,2017,8.593272332655868,18.200000000000003
IRN,2018,8.542319847097776,18.0
IRN,2019,8.507639033619936,18.3
IRN,2020,8.543411333963832,18.6
IRN,2021,8.575579586906029,18.7
IRN,2022,8.606176942485563,19.1
IRN,2023,8.646086538386578,18.7
ISL,2003,10.71639187687901,23.8
ISL,2004,10.781073040524634,23.4
ISL,2005,10.833176942954799,22.799999999999997
ISL,2006,10.86486882264863,22.3
ISL,2007,10.92336971907279,22.7
ISL,2008,10.92162728673776,21.6
ISL,2009,10.831332963583085,22.9
ISL,2010,10.81030326733911,23.9
ISL,2011,10.820954198083005,23.4
ISL,2012,10.827258472027884,23.5
ISL,2013,10.853137383566025,24.3
ISL,2014,10.860969666254384,23.200000000000003
ISL,2015,10.8875434021307,23.7
ISL,2016,10.933986812313744,23.5
ISL,2017,10.944788122065628,23.9
ISL,2018,10.963560869920638,23.4
ISL,2019,10.952889381082931,23.700000000000003
ISR,1979,9.838226004970824,17.8
ISR,1986,9.923304738525722,17.6
ISR,1992,10.071077778875997,18.3
ISR,1997,10.208919470437998,16.799999999999997
ISR,2001,10.268270921364092,16.3
ISR,2002,10.246600363683719,15.8
ISR,2003,10.24278883351691,15.2
ISR,2004,10.27055855276798,14.600000000000001
ISR,2005,10.295534597203016,14.5
ISR,2006,10.332260113175682,14.600000000000001
ISR,2007,10.37571716308418,14.9
ISR,2008,10.38960325878136,14.7
ISR,2009,10.37782909221301,14.1
ISR,2010,10.413525999508337,14.399999999999999
ISR,2011,10.448713180591845,14.600000000000001
ISR,2012,10.45406523667223,14.7
ISR,2013,10.475491751594292,15.6
ISR,2014,10.492803195240448,15.4
ISR,2015,10.49510397493118,15.6
