iso,year,log_gdppc,gini
BRA,2006,8.93879933874518,55.6
BRA,2007,8.987603504325019,54.9
BRA,2008,9.027710519473555,54.0
BRA,2009,9.01749528495974,53.7
BRA,2011,9.112506257710116,52.9
BRA,2012,9.123419816967365,53.4
BRA,2013,9.144920323671,52.7
BRA,2014,9.141884083229511,52.1
BRA,2015,9.097865343318206,51.9
BRA,2016,9.05693785163387,53.4
BRA,2017,9.062797340537387,53.3
BRA,2018,9.07364240569415,53.9
BRA,2019,9.079256326487013,53.5
BRA,2020,9.040146350349604,48.8
BRA,2021,9.082419435054037,52.9
BRA,2022,9.108538496359254,51.9
BRA,2023,9.136481431933003,51.5
BRA,2024,9.166048320733326,50.3
CAN,1971,9.982417141942177,37.2
CAN,1973,10.077429071508789,34.9
CAN,1975,10.097236777883039,34.1
CAN,1977,10.164337797657922,33.7
CAN,1979,10.217739940829635,33.5
CAN,1981,10.247628849339847,33.0
CAN,1982,10.203559040139817,32.9
CAN,1984,10.266845156474842,33.5
CAN,1985,10.303996173090452,33.2
CAN,1986,10.315048679273543,31.7
CAN,1987,10.341779933367578,31.7
CAN,1988,10.371976990996458,31.2
CAN,1989,10.377139381634805,31.0
CAN,1990,10.364090196779857,31.4
CAN,1991,10.33053031089972,31.9
CAN,1992,10.327558805217251,31.6
CAN,1993,10.34279952988324,31.7
CAN,1994,10.375806888481927,31.3
CAN,1995,10.391929038407067,31.5
CAN,1996,10.39822448918927,32.8
CAN,1997,10.430197605930754,33.1
CAN,1998,10.46008875811897,33.2
CAN,1999,10.50209248550898,33.1
CAN,2000,10.542888385329666,33.4
CAN,2001,10.550603739603536,33.6
CAN,2002,10.569307379261009,33.6
CAN,2003,10.57821774951798,33.8
CAN,2004,10.599351016313625,33.8
CAN,2005,10.621480118016743,33.6
CAN,2006,10.637382024637729,34.1
CAN,2007,10.647967251281502,33.8
CAN,2008,10.647033388135789,33.9
CAN,2009,10.606002120137163,34.0
CAN,2010,10.62532862861404,33.6
CAN,2011,10.646464456840944,32.7
CAN,2012,10.653031268031413,33.5
CAN,2013,10.665489245389708,33.8
CAN,2014,10.683804585865452,33.2
CAN,2015,10.682680262531703,33.7
CAN,2016,10.681696815432375,32.7
CAN,2017,10.699629700539841,33.3
CAN,2018,10.712357621426529,32.5
CAN,2019,10.716644993442019,31.8
CAN,2020,10.654105471199319,29.9
CAN,2021,10.706368529642504,31.1
CAN,2022,10.733850085535499,31.5
CHE,1982,10.999618829035017,36.0
CHE,1992,11.103595268944622,33.9
CHE,2000,11.224353356657415,33.4
CHE,2002,11.230054389899072,31.7
CHE,2004,11.238455004433444,31.6
CHE,2006,11.295378345354818,33.9
CHE,2007,11.32550053805686,34.3
CHE,2008,11.337795177570449,33.8
CHE,2009,11.305761592759621,32.9
CHE,2010,11.327432014684732,32.6
CHE,2011,11.330291676635238,31.7
CHE,2012,11.33085212634982,31.6
CHE,2013,11.337548035912526,32.5
CHE,2014,11.350463162732629,32.5
CHE,2015,11.353520060500577,32.3
CHE,2016,11.36153524473918,33.0
CHE,2017,11.36630722298666,32.7
CHE,2018,11.391673600179173,33.1
CHE,2019,11.395631943701853,34.0
CHE,2020,11.365514403488842,33.7
CHE,2021,11.41778945244471,33.8
CHE,2022,11.444222981093114,33.8
CHL,1987,8.418175490172533,56.2
CHL,1990,8.573675022225954,57.2
CHL,1992,8.724494387010008,54.8
CHL,1994,8.808114588144447,56.4
CHL,1996,8.93659927498857,54.9
CHL,1998,9.022497675015181,55.5
CHL,2000,9.043736998669685,52.8
CHL,2003,9.119406869372144,51.5
CHL,2006,9.269704378495659,47.7
CHL,2009,9.3161776149694,47.4
CHL,2011,9.41351336106279,46.9
CHL,2013,9.48666314331262,46.8
CHL,2015,9.505538153004625,45.3
CHL,2017,9.508468631529055,45.3
CHL,2020,9.447842436877993,47.0
CHL,2022,9.566293718149335,43.2
CHL,2024,9.589935642412886,43.0
CHN,1981,6.116156295490321,28.2
CHN,1984,6.403994044968017,27.1
CHN,1987,6.681376781280893,29.4
CHN,1990,6.82131234459171,32.2
CHN,1993,7.137549804861502,33.9
CHN,1996,7.427416203886311,35.2
CHN,1999,7.638646988767542,38.7
CHN,2002,7.867359395555581,42.0
CHN,2005,8.150677895543058,40.9
CHN,2008,8.478731921413216,43.0
CHN,2010,8.659499741124039,43.7
CHN,2011,8.744442915713616,42.4
CHN,2012,8.813303154830061,42.2
CHN,2013,8.881549780556604,39.7
CHN,2014,8.947204390187988,39.2
CHN,2015,9.008876710627593,38.6
CHN,2016,9.068687551142396,38.5
CHN,2017,9.129276776150117,39.1
CHN,2018,9.18999264451763,38.5
CHN,2019,9.245349583911969,38.2
CHN,2020,9.266094744551108,37.1
CHN,2021,9.347430701068673,35.7
CHN,2022,9.378419211755894,36.0
CIV,1985,7.667654207132767,45.5
CIV,1986,7.660620600666539,38.0
CIV,1987,7.618556166617979,40.5
CIV,1988,7.591553279093246,36.9
CIV,1992,7.449912470586521,39.4
CIV,1995,7.406764020047959,40.6
CIV,1998,7.500210413092973,39.0
CIV,2002,7.3468351979224895,41.3
CIV,2008,7.282505007965388,43.2
CIV,2015,7.503685666289025,41.5
CIV,2018,7.607541907538331,37.2
CIV,2021,7.671575473933528,35.3
COL,1980,8.101832796633115,55.1
COL,1988,8.185620430741702,53.1
COL,1989,8.198660272462119,52.8
COL,1991,8.21964319754469,51.3
COL,1992,8.239486345038191,51.3
COL,1996,8.342528151552576,56.8
COL,1999,8.285794005781797,58.5
COL,2000,8.298243214136546,58.4
COL,2001,8.299163516306239,57.3
COL,2002,8.308515733738236,56.0
COL,2003,8.331869200280558,53.6
COL,2004,8.369137611599138,55.0
COL,2005,8.402292955782052,53.9
COL,2008,8.526860684740482,55.0
COL,2009,8.526543583446504,54.1
COL,2010,8.559149673592595,54.4
COL,2011,8.615607839856338,53.3
COL,2012,8.643959081011802,53.6
COL,2013,8.684537467094968,53.5
COL,2014,8.719617954543367,53.6
COL,2015,8.740099099350715,52.0
COL,2016,8.750852565595604,51.7
COL,2017,8.749839837418161,50.9
COL,2018,8.75676842867108,51.6
COL,2019,8.77027816661759,52.5
COL,2020,8.681343179480681,54.4
COL,2021,8.772946299201278,55.1
COL,2022,8.832985333472989,54.8
COL,2023,8.830159007195745,54.6
COL,2024,8.834236887367172,54.4
CRI,1981,8.686007785879898,47.5
CRI,1986,8.639892325069328,34.4
CRI,1989,8.697929378296358,45.5
CRI,1990,8.707579321171922,45.2
CRI,1991,8.70453209170455,46.6
CRI,1992,8.767242902523453,45.6
CRI,1993,8.810799186080569,45.9
CRI,1994,8.830449779507749,46.7
CRI,1995,8.84708602783741,45.7
CRI,1996,8.83706199787323,46.5
CRI,1997,8.867783015882976,45.6
CRI,1998,8.91458939715245,45.6
CRI,1999,8.934493445319093,47.6
CRI,2000,8.95241382755004,47.4
CRI,2001,8.968808025328064,51.5
CRI,2002,8.98589087591986,51.8
CRI,2003,9.012798468523023,49.3
CRI,2004,9.041392488708512,48.4
CRI,2005,9.065931713134097,47.5
CRI,2006,9.122633593956799,49.3
CRI,2007,9.188044813132949,49.3
CRI,2008,9.220776647630187,48.6
CRI,2009,9.198639754584931,50.6
CRI,2010,9.238450132413732,48.0
CRI,2011,9.269784956273197,48.8
CRI,2012,9.305788661192018,48.4
CRI,2013,9.319297354028341,49.2
CRI,2014,9.343355571154657,48.6
CRI,2015,9.368600648303643,48.4
CRI,2016,9.399673551623106,48.7
CRI,2017,9.430965994761966,48.3
CRI,2018,9.450050282876473,48.0
CRI,2019,9.468388678338293,48.2
CRI,2020,9.419160709731832,49.2
CRI,2021,9.493054244646686,48.7
CRI,2022,9.541932589325903,47.2
CRI,2023,9.584074021276846,46.7
CRI,2024,9.619326938629671,45.8
CRI,2025,9.659439779385993,45.5
CYP,2004,10.118584283608284,30.1
CYP,2005,10.15157170398194,30.3
CYP,2006,10.180948450086756,31.1
CYP,2007,10.209382998936231,31.1
CYP,2008,10.22009277223239,31.7
CYP,2009,10.172891359187945,32.1
CYP,2010,10.169308800489862,31.5
CYP,2011,10.147952950322953,32.6
CYP,2012,10.097634100020509,34.3
CYP,2013,10.03063588477268,37.0
CYP,2014,10.015635469861357,35.6
