iso,year,log_gdppc,life_exp
PRI,2022,10.297002866338316,79.427
PRI,2023,10.309382751840023,81.69
PRI,2024,10.34105667842236,81.902
PRT,1960,8.310652847619185,64.0074634146342
PRT,1961,8.356473555200429,62.666512195122
PRT,1962,8.41330616872824,64.1810243902439
PRT,1963,8.466347210620961,64.7883902439024
PRT,1964,8.526988768617262,64.9833902439024
PRT,1965,8.603098788011872,65.9604634146341
PRT,1966,8.650609544073356,65.4876585365854
PRT,1967,8.729686914038338,66.3340731707317
PRT,1968,8.818998248330134,66.6781951219512
PRT,1969,8.848957879176224,66.2781707317073
PRT,1970,8.945042161340863,67.0731707317073
PRT,1971,9.013486333777138,66.7707317073171
PRT,1972,9.092135579736565,68.3243902439024
PRT,1973,9.19799249520867,67.5243902439024
PRT,1974,9.195407498214902,68.019512195122
PRT,1975,9.112953640728236,68.309756097561
PRT,1976,9.151238458952344,68.8609756097561
PRT,1977,9.19513369457406,70.0121951219512
PRT,1978,9.212114595930153,70.3170731707317
PRT,1979,9.256251501849938,71.1682926829268
PRT,1980,9.290308631722768,71.2146341463415
PRT,1981,9.297689340806151,71.6146341463415
PRT,1982,9.31270497071815,72.4146341463415
PRT,1983,9.306332694755296,72.2658536585366
PRT,1984,9.283508402589948,72.5146341463415
PRT,1985,9.308460549279584,72.8146341463415
PRT,1986,9.348126154169472,73.2658536585366
PRT,1987,9.410256114948229,73.6658536585366
PRT,1988,9.483514964489828,73.7146341463415
PRT,1989,9.547391437977621,74.2658536585366
PRT,1990,9.588315784000024,73.9658536585366
PRT,1991,9.633375505988669,74.0146341463415
PRT,1992,9.644988847206816,74.3121951219512
PRT,1993,9.62312127136157,74.5121951219512
PRT,1994,9.630032511130494,74.9146341463415
PRT,1995,9.668506535117169,75.3121951219512
PRT,1996,9.699189028400466,75.2609756097561
PRT,1997,9.73779222274008,75.4121951219512
PRT,1998,9.779697898051346,75.7121951219512
PRT,1999,9.812363612654803,75.9634146341463
PRT,2000,9.842786634865467,76.3146341463415
PRT,2001,9.854984569273409,76.8146341463415
PRT,2002,9.857187573287348,77.0658536585366
PRT,2003,9.844084684759105,77.219512195122
PRT,2004,9.859422653913747,77.6707317073171
PRT,2005,9.865355401039723,78.0707317073171
PRT,2006,9.879671806151135,78.419512195122
PRT,2007,9.902465561885503,78.3219512195122
PRT,2008,9.90421103740784,78.5243902439025
PRT,2009,9.871539189783375,78.7268292682927
PRT,2010,9.888307094175856,79.0268292682927
PRT,2011,9.872494160627962,80.4707317073171
PRT,2012,9.835196007149635,80.3731707317073
PRT,2013,9.830794350175609,80.7219512195122
PRT,2014,9.843572821075838,81.1219512195122
PRT,2015,9.863487163188946,81.1243902439025
PRT,2016,9.886484980778611,81.1243902439025
PRT,2017,9.921533553239117,81.4243902439025
PRT,2018,9.952171739599772,81.3243902439024
PRT,2019,9.979021069470727,81.6756097560976
PRT,2020,9.892361585498369,81.3292682926829
PRT,2021,9.940190631482182,81.3780487804878
PRT,2022,10.000744383129602,81.6317073170732
PRT,2023,10.017582167929966,82.3292682926829
PRT,2024,10.028532738219846,82.3829268292683
PRY,1960,7.31864658052361,60.197
PRY,1961,7.362343233080993,60.517
PRY,1962,7.371360642840601,60.816
PRY,1963,7.3929668632361345,61.101
PRY,1964,7.409216421837551,61.368
PRY,1965,7.444267886722552,61.606
PRY,1966,7.43962629759023,61.832
PRY,1967,7.503399669272151,62.025
PRY,1968,7.524450918153887,62.208
PRY,1969,7.547605959891025,62.385
PRY,1970,7.579193547928595,62.554
PRY,1971,7.610526546795609,62.726
PRY,1972,7.651527549273672,62.89
PRY,1973,7.697817724056757,63.059
PRY,1974,7.753425378119691,63.231
PRY,1975,7.794867847566713,63.435
PRY,1976,7.842774664796622,63.654
PRY,1977,7.926859647552552,63.86
PRY,1978,8.015511373674798,64.078
PRY,1979,8.102170018465658,64.298
PRY,1980,8.186620673626841,64.553
PRY,1981,8.24710322393489,64.811
PRY,1982,8.205186347185398,65.076
PRY,1983,8.146206562157492,65.293
PRY,1984,8.145792957279715,65.609
PRY,1985,8.161796942862118,65.893
PRY,1986,8.181943340559274,66.172
PRY,1987,8.226796531706782,66.454
PRY,1988,8.256222198730354,66.71
PRY,1989,8.295588455299242,66.922
PRY,1990,8.308882445898986,67.341
PRY,1991,8.316664595335482,67.676
PRY,1992,8.307470244714665,67.961
PRY,1993,8.330329592640803,68.234
PRY,1994,8.35752782379231,68.504
PRY,1995,8.399577842624682,68.778
PRY,1996,8.391941212693776,69.05
