iso,year,cons_prod_ratio,openness
JPN,2014,1.11410235250803,36.7643250218282
JPN,2015,1.0827471224985288,34.7276305886293
JPN,2016,1.1024040508928414,30.6562793068554
JPN,2017,1.0884116069679632,33.6888336792782
JPN,2018,1.1192103991919549,35.8035749582494
JPN,2019,1.130317413795763,34.3582972799989
JPN,2020,1.1412283027326144,30.5192226892273
JPN,2021,1.152407836735311,35.4253927340539
KAZ,1992,0.3523978366156653,149.336641791045
KAZ,1993,0.6332079071492925,84.634521855277
KAZ,1994,0.6723611818790756,84.1817390088715
KAZ,1995,0.6397238644727782,82.522407044045
KAZ,1996,0.7500904883787067,71.2735732877076
KAZ,1997,0.7430427786792311,72.3595506961877
KAZ,1998,0.8107840848223482,65.2041827454395
KAZ,1999,0.8292551489533688,82.579151355772
KAZ,2000,0.7235244062814264,105.699692634521
KAZ,2001,0.8473948824944217,92.8490685069707
KAZ,2002,0.7909586140028577,94.03168564978
KAZ,2003,0.748174515203803,91.4633324250457
KAZ,2004,0.7420906208889559,96.4091997009336
KAZ,2005,0.7585173016744855,97.7625030243024
KAZ,2006,0.8131974703254975,91.4535267973373
KAZ,2007,0.8384578578010917,92.1616330969975
KAZ,2008,0.7814437731643241,94.2948046483658
KAZ,2009,0.8165590598102954,75.7660674636533
KAZ,2010,0.6544521610847546,74.1382658957842
KAZ,2011,0.6330529860554172,73.1178570509129
KAZ,2012,0.7547245202089186,73.7237324891671
KAZ,2013,0.7916010933487949,65.4076093299538
KAZ,2014,0.7286293571173075,64.9720346513507
KAZ,2015,0.8252544117841162,53.0497288072652
KAZ,2016,0.756339087754649,60.3115965864153
KAZ,2017,0.7534716102228377,56.825387935971
KAZ,2018,0.6909931668952459,63.5279565118188
KAZ,2019,0.7135860018916362,64.8586165517565
KAZ,2020,0.7754454574167197,57.0264423660931
KAZ,2021,0.7812571456570738,58.6686085779207
KEN,1990,1.1784418725168424,57.0209136817269
KEN,1991,1.2601456815816858,55.5976992243654
KEN,1992,1.231607629427793,52.9308701038286
KEN,1993,1.138466413181242,72.8584813635643
KEN,1994,1.1755327303388012,71.2661252293107
KEN,1995,1.183898868928809,71.7457416403035
KEN,1996,1.1063233868361522,57.3121107038102
KEN,1997,1.2433450832624284,54.0571168602893
KEN,1998,1.1877187718771876,48.8972419400753
KEN,1999,1.1399061969863287,48.1922749889095
KEN,2000,1.1719788155994222,53.3090443862273
KEN,2001,1.3756504770164788,55.9468360286644
KEN,2002,1.3270239161018031,55.1726722640053
KEN,2003,1.5515187611673615,54.132265895729
KEN,2004,1.3558588111796352,59.4770033484289
KEN,2005,1.4543411402886206,64.4788661639796
KEN,2006,1.4693216264241664,55.2364851257303
KEN,2007,1.5504417505650299,53.8947888046059
KEN,2008,1.585206456084761,57.5785986473131
KEN,2009,1.4617972917521542,45.9451918127805
KEN,2010,1.5016445981276882,50.3942873502834
KEN,2011,1.625143231298085,58.4022059745625
KEN,2012,1.8521252000711363,51.6236920232481
KEN,2013,2.0568938584230865,47.4646425127304
KEN,2014,2.204631451490843,46.170489362216
KEN,2015,1.8596502760978177,40.3273846919019
KEN,2016,1.7625391368408128,34.8650195731824
KEN,2017,1.6999567393856994,35.9950578754074
KEN,2018,1.7171087455154974,34.4147531767425
KEN,2019,1.6630871744038769,31.759461841481
KEN,2020,1.5626313156578289,30.3991387830411
KEN,2021,1.628994657600777,35.0020477795269
KGZ,1990,1.1115392626536138,78.7383177570093
KGZ,1991,1.4298295275838209,72.0
KGZ,1992,2.5938235826842964,83.1916902738432
KGZ,1993,2.1698157770429853,74.7063327544027
KGZ,1994,2.35498046875,73.8302050053248
KGZ,1995,3.144220102063457,71.8242686635574
KGZ,1996,1.6693205944798302,87.2957738051993
KGZ,1997,0.9590001798237727,84.4771343003418
KGZ,1998,1.0623623114726317,94.5092945286033
KGZ,1999,1.1828953037483843,99.1994912194321
KGZ,2000,1.4738797814207651,89.4309316270309
KGZ,2001,1.3168265491314493,73.7469123687968
KGZ,2002,1.1919869839332926,82.9207290212667
KGZ,2003,1.1067708333333333,83.9327828079655
KGZ,2004,1.303546831955923,93.8157321567302
KGZ,2005,1.4566044573292263,95.0840046303638
KGZ,2006,1.7361187465640462,120.749981766273
KGZ,2007,1.5749770009199633,137.058387838563
KGZ,2008,2.264002138751504,146.106082230139
KGZ,2009,2.2140408406617977,133.379153167955
KGZ,2010,2.0758338577721838,133.232850492333
KGZ,2011,1.9927821522309712,136.179840420492
KGZ,2012,1.850897194408645,139.675937840309
KGZ,2013,1.7559071296486541,134.026785643922
KGZ,2014,1.753516998827667,125.126181075833
KGZ,2015,1.6076960545543106,110.961570714633
KGZ,2016,1.8610475992517148,105.823574017406
KGZ,2017,1.8503844510892782,100.617445813258
KGZ,2018,1.7896196868008947,98.8755599017608
KGZ,2019,1.9341218083342544,94.4302823542939
KGZ,2020,1.9454959271681838,78.9922784304738
KGZ,2021,1.838943702843877,100.261376861569
KHM,1993,1.4931407942238268,48.7242577792075
KHM,1994,1.527719298245614,64.4680319495873
KHM,1995,1.4189459639759838,77.7667280459137
KHM,1996,1.5774555042847724,69.161566797509
KHM,1997,1.6377899045020463,78.9346444583816
KHM,1998,1.5250533049040513,75.6194730009492
KHM,1999,1.4530095036958817,94.1768880770207
KHM,2000,5.494742113169755,110.397125303731
KHM,2001,5.379865771812081,111.771741244001
KHM,2002,5.948003714020427,118.269562072288
KHM,2003,3.6023080337328004,120.074969093599
KHM,2004,4.564091112103617,131.351481056276
KHM,2005,5.536894522408329,133.551965265648
KHM,2006,4.438707411310151,140.348734318483
KHM,2007,3.6959014044138723,133.700023826819
KHM,2008,3.7223069105691056,130.393510678736
KHM,2009,2.539637475431317,102.2879490147
KHM,2010,2.991316360765739,109.998400607758
KHM,2011,4.053879719218364,109.790505166814
KHM,2012,3.763819095477387,116.740233418212
KHM,2013,3.7543547813722005,124.887552768657
KHM,2014,3.09459862727544,124.454908526693
KHM,2015,2.9664060591253363,122.109596815379
KHM,2016,2.4091506952273583,122.704555602667
KHM,2017,2.1269132125424006,121.155451298689
KHM,2018,2.134093844167025,118.43765541305
KHM,2019,1.9089444862020828,115.736679072448
KHM,2020,1.774903530084322,122.105396346568
KHM,2021,1.7662575210589653,146.179846509715
KOR,1990,1.3212393866935983,49.1903734944072
KOR,1991,1.2837736861959896,48.2898598963294
KOR,1992,1.401217052066488,47.2068242485094
KOR,1993,1.2752397220859304,45.4216180794097
KOR,1994,1.237506852781175,47.7418242135125
KOR,1995,1.2155187468234006,51.3967337856387
KOR,1996,1.1951467472375035,51.6134521171463
KOR,1997,1.1227548947340031,55.894947743273
KOR,1998,0.972042493082706,66.3289851108207
KOR,1999,1.0620823883912802,57.8948578896383
KOR,2000,1.1414583811573682,64.0588155729056
KOR,2001,1.1059761078592107,60.4277386641693
KOR,2002,1.1357902807389748,56.6688767960273
KOR,2003,1.131962663819807,59.4242945541732
KOR,2004,1.1457623186518215,67.9270638751076
KOR,2005,1.1918794917864477,66.1695148242697
KOR,2006,1.2162696284644017,68.3749509402263
